Study,Category,First Review,Evaluation Step
Cell Assisted Lipotransfer,Include,8,27
Cell Assisted Lipotransfer,Insufficient Information,1,254
Cell Assisted Lipotransfer,Exclude,2,2390
Cell Assisted Lipotransfer,Exclude,2647,2390
Cell Assisted Lipotransfer,Insufficient Information,255,254
Cell Assisted Lipotransfer,Include,35,27
Free Fibula Flap,Include,28,24
Free Fibula Flap,Insufficient Information,6,13
Free Fibula Flap,Exclude,4,1
Free Fibula Flap,Exclude,978,1067
Free Fibula Flap,Insufficient Information,58,61
Free Fibula Flap,Include,156,28